id,stage,record_type,prompt,response,text,source_basis,source_url,quality_score,dataset_version
1,문제 정의,설명형,,,문제 정의 단계에서는 핵심 고객을 중심으로 문제가 발생하는 구체적인 상황을 설명해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
2,문제 정의,설명형,,,문제 정의 단계에서는 초기 고객을 중심으로 기존 방식이 실패하는 지점을 설명해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
3,문제 정의,설명형,,,문제 정의 단계에서는 반복적으로 불편을 겪는 사용자을 중심으로 고객이 포기하거나 우회하는 행동을 설명해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
4,문제 정의,설명형,,,문제 정의 단계에서는 문제를 가장 강하게 느끼는 사람을 중심으로 불편이 반복되는 순간을 설명해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
5,문제 정의,설명형,,,문제 정의 단계에서는 현재 대안을 사용 중인 고객을 중심으로 시간이나 비용이 낭비되는 과정을 설명해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
6,문제 정의,설명형,,,문제 정의의 핵심은 초기 고객과 관련된 손실되는 시간을 구체적인 근거로 보여주는 것입니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
7,문제 정의,설명형,,,문제 정의의 핵심은 반복적으로 불편을 겪는 사용자과 관련된 문제의 심각도을 구체적인 근거로 보여주는 것입니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
8,문제 정의,설명형,,,문제 정의의 핵심은 문제를 가장 강하게 느끼는 사람과 관련된 추가로 지불하는 비용을 구체적인 근거로 보여주는 것입니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
9,문제 정의,설명형,,,문제 정의의 핵심은 현재 대안을 사용 중인 고객과 관련된 발생 빈도을 구체적인 근거로 보여주는 것입니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
10,문제 정의,설명형,,,문제 정의의 핵심은 핵심 고객과 관련된 실수나 실패의 빈도을 구체적인 근거로 보여주는 것입니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
11,문제 정의,설명형,,,반복적으로 불편을 겪는 사용자을 명확히 하면 문제 정의 내용이 추상적인 주장보다 설득력 있는 구조가 됩니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
12,문제 정의,설명형,,,문제를 가장 강하게 느끼는 사람을 명확히 하면 문제 정의 내용이 추상적인 주장보다 설득력 있는 구조가 됩니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
13,문제 정의,설명형,,,현재 대안을 사용 중인 고객을 명확히 하면 문제 정의 내용이 추상적인 주장보다 설득력 있는 구조가 됩니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
14,문제 정의,설명형,,,핵심 고객을 명확히 하면 문제 정의 내용이 추상적인 주장보다 설득력 있는 구조가 됩니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
15,문제 정의,설명형,,,초기 고객을 명확히 하면 문제 정의 내용이 추상적인 주장보다 설득력 있는 구조가 됩니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
16,문제 정의,설명형,,,문제 정의에서는 시간이나 비용이 낭비되는 과정과 실수나 실패의 빈도을 연결해 독자가 한 번에 이해하도록 구성해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
17,문제 정의,설명형,,,문제 정의에서는 문제가 발생하는 구체적인 상황과 손실되는 시간을 연결해 독자가 한 번에 이해하도록 구성해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
18,문제 정의,설명형,,,문제 정의에서는 기존 방식이 실패하는 지점과 문제의 심각도을 연결해 독자가 한 번에 이해하도록 구성해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
19,문제 정의,설명형,,,문제 정의에서는 고객이 포기하거나 우회하는 행동과 추가로 지불하는 비용을 연결해 독자가 한 번에 이해하도록 구성해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
20,문제 정의,설명형,,,문제 정의에서는 불편이 반복되는 순간과 발생 빈도을 연결해 독자가 한 번에 이해하도록 구성해야 합니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
21,문제 정의,설명형,,,현재 대안을 사용 중인 고객에 대한 설명은 고객이 포기하거나 우회하는 행동에서 시작해 문제의 심각도으로 마무리하는 것이 좋습니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
22,문제 정의,설명형,,,핵심 고객에 대한 설명은 불편이 반복되는 순간에서 시작해 추가로 지불하는 비용으로 마무리하는 것이 좋습니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
23,문제 정의,설명형,,,초기 고객에 대한 설명은 시간이나 비용이 낭비되는 과정에서 시작해 발생 빈도으로 마무리하는 것이 좋습니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
24,문제 정의,설명형,,,반복적으로 불편을 겪는 사용자에 대한 설명은 문제가 발생하는 구체적인 상황에서 시작해 실수나 실패의 빈도으로 마무리하는 것이 좋습니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
25,문제 정의,설명형,,,문제를 가장 강하게 느끼는 사람에 대한 설명은 기존 방식이 실패하는 지점에서 시작해 손실되는 시간으로 마무리하는 것이 좋습니다.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
26,문제 정의,질문형,,,"핵심 고객은 누구이며, 문제가 발생하는 구체적인 상황에서 어떤 선택을 하고 있나요?",초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
27,문제 정의,질문형,,,"초기 고객은 누구이며, 기존 방식이 실패하는 지점에서 어떤 선택을 하고 있나요?",초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
28,문제 정의,질문형,,,"반복적으로 불편을 겪는 사용자은 누구이며, 고객이 포기하거나 우회하는 행동에서 어떤 선택을 하고 있나요?",초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
29,문제 정의,질문형,,,"문제를 가장 강하게 느끼는 사람은 누구이며, 불편이 반복되는 순간에서 어떤 선택을 하고 있나요?",초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
30,문제 정의,질문형,,,"현재 대안을 사용 중인 고객은 누구이며, 시간이나 비용이 낭비되는 과정에서 어떤 선택을 하고 있나요?",초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
31,문제 정의,질문형,,,문제 정의를 설명하기 위해 확인해야 할 손실되는 시간은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
32,문제 정의,질문형,,,문제 정의를 설명하기 위해 확인해야 할 문제의 심각도은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
33,문제 정의,질문형,,,문제 정의를 설명하기 위해 확인해야 할 추가로 지불하는 비용은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
34,문제 정의,질문형,,,문제 정의를 설명하기 위해 확인해야 할 발생 빈도은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
35,문제 정의,질문형,,,문제 정의를 설명하기 위해 확인해야 할 실수나 실패의 빈도은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
36,문제 정의,질문형,,,기존 방식이 실패하는 지점을 실제 사례로 보여줄 수 있나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
37,문제 정의,질문형,,,고객이 포기하거나 우회하는 행동을 실제 사례로 보여줄 수 있나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
38,문제 정의,질문형,,,불편이 반복되는 순간을 실제 사례로 보여줄 수 있나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
39,문제 정의,질문형,,,시간이나 비용이 낭비되는 과정을 실제 사례로 보여줄 수 있나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
40,문제 정의,질문형,,,문제가 발생하는 구체적인 상황을 실제 사례로 보여줄 수 있나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
41,문제 정의,질문형,,,문제를 가장 강하게 느끼는 사람에 관한 가정 중 고객이나 데이터로 확인한 내용은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
42,문제 정의,질문형,,,현재 대안을 사용 중인 고객에 관한 가정 중 고객이나 데이터로 확인한 내용은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
43,문제 정의,질문형,,,핵심 고객에 관한 가정 중 고객이나 데이터로 확인한 내용은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
44,문제 정의,질문형,,,초기 고객에 관한 가정 중 고객이나 데이터로 확인한 내용은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
45,문제 정의,질문형,,,반복적으로 불편을 겪는 사용자에 관한 가정 중 고객이나 데이터로 확인한 내용은 무엇인가요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
46,문제 정의,질문형,,,문제의 심각도이 개선되면 고객에게 어떤 변화가 생기나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
47,문제 정의,질문형,,,추가로 지불하는 비용이 개선되면 고객에게 어떤 변화가 생기나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
48,문제 정의,질문형,,,발생 빈도이 개선되면 고객에게 어떤 변화가 생기나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
49,문제 정의,질문형,,,실수나 실패의 빈도이 개선되면 고객에게 어떤 변화가 생기나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
50,문제 정의,질문형,,,손실되는 시간이 개선되면 고객에게 어떤 변화가 생기나요?,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
51,문제 정의,피드백형,,,현재 문제 정의 설명은 범위가 넓습니다. 핵심 고객과 문제가 발생하는 구체적인 상황을 기준으로 더 좁혀보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
52,문제 정의,피드백형,,,현재 문제 정의 설명은 범위가 넓습니다. 초기 고객과 기존 방식이 실패하는 지점을 기준으로 더 좁혀보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
53,문제 정의,피드백형,,,현재 문제 정의 설명은 범위가 넓습니다. 반복적으로 불편을 겪는 사용자과 고객이 포기하거나 우회하는 행동을 기준으로 더 좁혀보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
54,문제 정의,피드백형,,,현재 문제 정의 설명은 범위가 넓습니다. 문제를 가장 강하게 느끼는 사람과 불편이 반복되는 순간을 기준으로 더 좁혀보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
55,문제 정의,피드백형,,,현재 문제 정의 설명은 범위가 넓습니다. 현재 대안을 사용 중인 고객과 시간이나 비용이 낭비되는 과정을 기준으로 더 좁혀보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
56,문제 정의,피드백형,,,손실되는 시간에 대한 근거가 부족합니다. 수치나 실제 사례를 추가하세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
57,문제 정의,피드백형,,,문제의 심각도에 대한 근거가 부족합니다. 수치나 실제 사례를 추가하세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
58,문제 정의,피드백형,,,추가로 지불하는 비용에 대한 근거가 부족합니다. 수치나 실제 사례를 추가하세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
59,문제 정의,피드백형,,,발생 빈도에 대한 근거가 부족합니다. 수치나 실제 사례를 추가하세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
60,문제 정의,피드백형,,,실수나 실패의 빈도에 대한 근거가 부족합니다. 수치나 실제 사례를 추가하세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
61,문제 정의,피드백형,,,반복적으로 불편을 겪는 사용자을 설명했지만 고객 관점의 변화가 보이지 않습니다. 기존 방식이 실패하는 지점을 함께 적어보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
62,문제 정의,피드백형,,,문제를 가장 강하게 느끼는 사람을 설명했지만 고객 관점의 변화가 보이지 않습니다. 고객이 포기하거나 우회하는 행동을 함께 적어보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
63,문제 정의,피드백형,,,현재 대안을 사용 중인 고객을 설명했지만 고객 관점의 변화가 보이지 않습니다. 불편이 반복되는 순간을 함께 적어보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
64,문제 정의,피드백형,,,핵심 고객을 설명했지만 고객 관점의 변화가 보이지 않습니다. 시간이나 비용이 낭비되는 과정을 함께 적어보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
65,문제 정의,피드백형,,,초기 고객을 설명했지만 고객 관점의 변화가 보이지 않습니다. 문제가 발생하는 구체적인 상황을 함께 적어보세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
66,문제 정의,피드백형,,,문제 정의 내용이 기능 소개에 치우쳐 있습니다. 실수나 실패의 빈도이 어떻게 달라지는지 보여주세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
67,문제 정의,피드백형,,,문제 정의 내용이 기능 소개에 치우쳐 있습니다. 손실되는 시간이 어떻게 달라지는지 보여주세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
68,문제 정의,피드백형,,,문제 정의 내용이 기능 소개에 치우쳐 있습니다. 문제의 심각도이 어떻게 달라지는지 보여주세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
69,문제 정의,피드백형,,,문제 정의 내용이 기능 소개에 치우쳐 있습니다. 추가로 지불하는 비용이 어떻게 달라지는지 보여주세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
70,문제 정의,피드백형,,,문제 정의 내용이 기능 소개에 치우쳐 있습니다. 발생 빈도이 어떻게 달라지는지 보여주세요.,초기 합성 데이터: IR 8단계와 5개 문장 유형을 균형 구성,,3,initial synthetic
